#Exchange,Seller Account ID,Type of Account (Direct or Reseller),TAG
ID (optional)
#GOOGLE ADX
google.com,pub-2008769003953399,DIRECT,f08c47fec0942fa0
google.com,pub-4658617146444345,DIRECT,f08c47fec0942fa0
#GOOGLE ADSENSE
google.com,pub-3269881829519502,DIRECT,f08c47fec0942fa0
#INDEX EXCHANGE
indexexchange.com,183763,DIRECT
indexexchange.com,178372,RESELLER
indexexchange.com,184969,DIRECT
indexexchange.com,165897,DIRECT,
#APPNEXUS
appnexus.com,4022,DIRECT,
appnexus.com,1944,RESELLER,
#CRITEO
criteo.com,144857,DIRECT,
#CENTRO
t.brand-server.com,5607,DIRECT,
#AMAZON
amazon-adsystem.com,3252,DIRECT,
#TEADS
teads.tv,11508,DIRECT,15a9c44f6d26cbe1
teads.tv,12087,DIRECT,15a9c44f6d26cbe1
connatix.com,100610,DIRECT,
#DISTROSCALE
distroscale.com, 8569321769, DIRECT
advertising.com, 10152, DIRECT
appnexus.com, 7259, DIRECT
contextweb.com, 560840, DIRECT, 89ff185a4c4e857c
google.com, pub-3851171199385532, DIRECT, f08c47fec0942fa0
google.com, pub-5028215366626589, DIRECT, f08c47fec0942fa0
lkqd.net, 598, DIRECT, 59c49fa9598a0117
openx.com, 537139075, DIRECT, 6a698e2ec38604c6
openx.com, 540884769, DIRECT, 6a698e2ec38604c6
openx.com, 540911068, DIRECT, 6a698e2ec38604c6
pubmatic.com, 158001, DIRECT, 5d62403b186f2ace
rubiconproject.com, 16578, DIRECT, 0bfd66d529a55807
spotx.tv,119003, DIRECT, 7842df1d2fe2db34
spotxchange.com, 119003, DIRECT,7842df1d2fe2db34
telaria.com,2g9h1, DIRECT, 1a4e959a1b50034a
tremorhub.com, 2g9h1, DIRECT, 1a4e959a1b50034a
#Gannett video
google.com, pub-5717092533913515, DIRECT, f08c47fec0942fa0
appnexus.com, 7155, DIRECT
openx.com, 537152847, DIRECT, a698e2ec38604c6

openx.com, 539581282, DIRECT, 6a698e2ec38604c6
indexexchange.com, 185182, DIRECT
indexexchange.com, 184808, DIRECT
pubmatic.com, 156719, DIRECT, 5d62403b186f2ace
pubmatic.com, 157904, DIRECT, 5d62403b186f2ace
rubiconproject.com, 11324, DIRECT, 0bfd66d529a55807
rubiconproject.com, 17816, DIRECT, 0bfd66d529a55807
rubiconproject.com, 17346, DIRECT, 0bfd66d529a55807
aol.com, 4941, DIRECT
#TABOOLA
taboola.com,1256736,DIRECT,c228e6794e811952
taboola.com,1261136,DIRECT,c228e6794e811952
taboola.com,1261137,DIRECT,c228e6794e811952
taboola.com,1261138,DIRECT,c228e6794e811952
taboola.com,1261139,DIRECT,c228e6794e811952
taboola.com,1261140,DIRECT,c228e6794e811952
taboola.com,1261141,DIRECT,c228e6794e811952
taboola.com,1261142,DIRECT,c228e6794e811952
taboola.com,1261143,DIRECT,c228e6794e811952
taboola.com,1261144,DIRECT,c228e6794e811952
taboola.com,1261145,DIRECT,c228e6794e811952
taboola.com,1261146,DIRECT,c228e6794e811952
taboola.com,1261147,DIRECT,c228e6794e811952
taboola.com,1261148,DIRECT,c228e6794e811952
taboola.com,1261149,DIRECT,c228e6794e811952
taboola.com,1261150,DIRECT,c228e6794e811952
taboola.com,1261151,DIRECT,c228e6794e811952
taboola.com,1261153,DIRECT,c228e6794e811952
taboola.com,1261154,DIRECT,c228e6794e811952
taboola.com,1261155,DIRECT,c228e6794e811952
taboola.com,1261156,DIRECT,c228e6794e811952
taboola.com,1261157,DIRECT,c228e6794e811952
taboola.com,1261158,DIRECT,c228e6794e811952
taboola.com,1261159,DIRECT,c228e6794e811952
taboola.com,1261160,DIRECT,c228e6794e811952
