google.com, pub-0150799313779142, DIRECT, f08c47fec0942fa0
google.com, pub-5615155558380941, DIRECT, f08c47fec0942fa0
google.com, pub-5918552270747313, RESELLER, f08c47fec0942fa0
richaudience.com, ECNzZrXH6X, DIRECT
adform.com, 1942, DIRECT
adform.com, 1941, DIRECT
adtech.com, 4687, RESELLER
advertising.com, 7574, DIRECT
aerserv.com, 2750, RESELLER
aol.com, 46658, RESELLER
aol.com, 27093, RESELLER
appnexus.com, 8233, DIRECT
appnexus.com, 2928, DIRECT
fyber.com, 02d54c63f17ab1407e1ab9bf16aa883c, RESELLER
fyber.com, 70f8ec805088dbbfd73d8c68ee47bbfc, RESELLER
google.com, pub-4673227357197067, RESELLER, f08c47fec0942fa0
indexexchange.com, 179394, RESELLER
lijit.com, 249425, RESELLER
mobfox.com, 45499, RESELLER
mobfox.com, 74240, RESELLER
openx.com, 537149888, RESELLER
pubmatic.com, 114634, RESELLER
pubmatic.com, 81564, DIRECT, 5d62403b186f2ace
pubmatic.com, 156241, RESELLER
pulsepoint.com, 560520, RESELLER
rubiconproject.com, 13510, DIRECT
smaato.com, 1100037086, RESELLER
smaato.com, 1100000579, RESELLER
smartadserver.com, 2640, RESELLER
smartadserver.com, 2441, RESELLER
sovrn.com, 249425, RESELLER
spotxchange.com, 173177, DIRECT
spotxchange.com, 173175, DIRECT
tidaltv.com, 4854, DIRECT
tidaltv.com, 4564, DIRECT
tidaltv.com, 5081, DIRECT
tidaltv.com, 2575, DIRECT
tidaltv.com, 5158, DIRECT
tidaltv.com, 4056, DIRECT
tidaltv.com, 2595, DIRECT
tidaltv.com, 4918, DIRECT
tidaltv.com, 5054, DIRECT
tidaltv.com, 3388, DIRECT
