google.com, pub-8536327456996795, DIRECT, f08c47fec0942fa0 
google.com, pub-9528607032260800, DIRECT, f08c47fec0942fa0
rubiconproject.com, 16148, DIRECT, 0bfd66d529a55807
rubiconproject.com, 16148, RESELLER, 0bfd66d529a55807
appnexus.com, 1792, DIRECT
rubiconproject.com, 10617, DIRECT
indexexchange.com, 184268, DIRECT
c.amazon-adsystem.com, 3007, DIRECT
advertising.com , 18977, DIRECT
defymedia.com, 1613, DIRECT
sonobi.com, a8f851cb57, DIRECT
sovrn.com, fafdf38b16bf6b2b, DIRECT
brealtime.com, 58, DIRECT
contextweb.com, 561070, DIRECT
pubmatic.com, 156011, DIRECT
openx.com, 537142979, DIRECT
