##Futura
google.com, pub-9870906254578438, DIRECT, f08c47fec0942fa0
google.com, pub-4050932021375216, DIRECT, f08c47fec0942fa0


##teads
teads.tv, 10814, DIRECT, 15a9c44f6d26cbe1


##outbrain
outbrain.com, 00bd44d0de7aa1b8f7f2897b3c7196e861, DIRECT
appnexus.com, 7597, RESELLER, f5ab79cb980f11d1
tremorhub.com, q017o-78mlk, RESELLER, 1a4e959a1b50034a # Premium video demand aka "Telaria"
teads.tv, 15429, RESELLER, 15a9c44f6d26cbe1 # Premium video demand
advertising.com, 26154, RESELLER # Premium video demand
spotxchange.com, 225721, RESELLER # Premium video demand
Freewheel.tv, 741650, RESELLER # Premium video demand
rubiconproject.com, 17130, RESELLER, 0bfd66d529a55807 # Premium video demand
lkqd.net, 450, RESELLER, 59c49fa9598a0117 # Premium video demand
openx.com, 540393169, RESELLER, 6a698e2ec38604c6 # Premium video demand
spotx.tv, 238936, RESELLER, 7842df1d2fe2db34 # Premium video demand
spotxchange.com, 238936, RESELLER, 7842df1d2fe2db34 # Premium Video Demand
advertising.com, 28038, RESELLER # Premium Video Demand
rubiconproject.com, 19668, RESELLER, 0bfd66d529a55807


##mediab
freewheel.tv, 489809, RESELLER
freewheel.tv, 489825, RESELLER
freewheel.tv, 981, RESELLER
freewheel.tv, 5621, RESELLER
mediabong.com, 1406, DIRECT
contextweb.com, 561619, RESELLER
woobi.com, 13067, DIRECT
contextweb.com, 560056, RESELLER
rubiconproject.com, 16640, RESELLER
Advertising.com, 25902, Direct


##ividence
ividence.com, 5885c8471021c2c579b77a97, RESELLER
ividence.com, 5885c8471021c2c579b77a97, DIRECT


##DM
rubiconproject.com, 8769, RESELLER, 0bfd66d529a55807 # video
google.com, pub-7019376976432612, RESELLER # video
freewheel.tv, 197345, RESELLER # video
freewheel.tv, 197353, RESELLER # video
freewheel.tv, 197361, RESELLER # video
freewheel.tv, 197369, RESELLER # video
freewheel.tv, 197377, RESELLER # video
freewheel.tv, 197385, RESELLER # video
freewheel.tv, 197393, RESELLER # video
freewheel.tv, 197401, RESELLER # video
freewheel.tv, 197409, RESELLER # video
freewheel.tv, 197417, RESELLER # video
freewheel.tv, 197425, RESELLER # video
freewheel.tv, 197433, RESELLER # video
freewheel.tv, 197441, RESELLER # video
freewheel.tv, 197449, RESELLER # video
freewheel.tv, 197457, RESELLER # video
freewheel.tv, 197465, RESELLER # video
freewheel.tv, 197473, RESELLER # video
freewheel.tv, 197481, RESELLER # video
freewheel.tv, 198953, RESELLER # video
freewheel.tv, 206641, RESELLER # video
freewheel.tv, 215066, RESELLER # video
freewheel.tv, 283154, RESELLER # video
freewheel.tv, 283666, RESELLER # video
freewheel.tv, 288658, RESELLER # video
freewheel.tv, 310385, RESELLER # video
freewheel.tv, 644210, RESELLER # video
freewheel.tv, 644226, RESELLER # video
freewheel.tv, 644242, RESELLER # video
freewheel.tv, 644258, RESELLER # video
freewheel.tv, 644274, RESELLER # video
freewheel.tv, 644290, RESELLER # video
freewheel.tv, 644306, RESELLER # video
freewheel.tv, 644322, RESELLER # video
freewheel.tv, 644338, RESELLER # video
freewheel.tv, 644354, RESELLER # video
freewheel.tv, 644370, RESELLER # video
freewheel.tv, 644386, RESELLER # video
freewheel.tv, 644402, RESELLER # video
freewheel.tv, 644418, RESELLER # video
freewheel.tv, 644434, RESELLER # video
freewheel.tv, 644450, RESELLER # video
freewheel.tv, 644466, RESELLER # video
freewheel.tv, 644482, RESELLER # video
freewheel.tv, 644498, RESELLER # video
freewheel.tv, 732722, RESELLER # video
freewheel.tv, 321361, RESELLER # video
freewheel.tv, 321377, RESELLER # video
freewheel.tv, 321393, RESELLER # video
freewheel.tv, 321409, RESELLER # video
freewheel.tv, 321425, RESELLER # video
freewheel.tv, 321441, RESELLER # video
freewheel.tv, 321457, RESELLER # video
freewheel.tv, 321473, RESELLER # video
freewheel.tv, 321489, RESELLER # video
freewheel.tv, 321505, RESELLER # video
freewheel.tv, 321521, RESELLER # video
freewheel.tv, 321537, RESELLER # video
freewheel.tv, 321553, RESELLER # video
freewheel.tv, 321569, RESELLER # video
freewheel.tv, 321585, RESELLER # video
freewheel.tv, 321601, RESELLER # video
freewheel.tv, 321617, RESELLER # video
freewheel.tv, 321633, RESELLER # video
freewheel.tv, 321649, RESELLER # video
freewheel.tv, 321665, RESELLER # video
freewheel.tv, 321681, RESELLER # video
freewheel.tv, 321697, RESELLER # video
freewheel.tv, 321713, RESELLER # video
freewheel.tv, 321729, RESELLER # video
freewheel.tv, 321745, RESELLER # video
freewheel.tv, 644514, RESELLER # video
freewheel.tv, 644530, RESELLER # video
freewheel.tv, 644546, RESELLER # video
freewheel.tv, 644562, RESELLER # video
freewheel.tv, 644578, RESELLER # video
freewheel.tv, 644594, RESELLER # video
freewheel.tv, 644610, RESELLER # video
freewheel.tv, 644626, RESELLER # video
freewheel.tv, 644642, RESELLER # video
freewheel.tv, 644658, RESELLER # video
freewheel.tv, 644674, RESELLER # video
freewheel.tv, 644690, RESELLER # video
freewheel.tv, 644706, RESELLER # video
freewheel.tv, 644722, RESELLER # video
freewheel.tv, 644738, RESELLER # video
freewheel.tv, 644754, RESELLER # video
freewheel.tv, 644770, RESELLER # video
freewheel.tv, 644786, RESELLER # video
freewheel.tv, 644802, RESELLER # video
freewheel.tv, 732754, RESELLER # video
dailymotion.com, 197345, RESELLER # video
dailymotion.com, 197353, RESELLER # video
dailymotion.com, 197361, RESELLER # video
dailymotion.com, 197369, RESELLER # video
dailymotion.com, 197377, RESELLER # video
dailymotion.com, 197385, RESELLER # video
dailymotion.com, 197393, RESELLER # video
dailymotion.com, 197401, RESELLER # video
dailymotion.com, 197409, RESELLER # video
dailymotion.com, 197417, RESELLER # video
dailymotion.com, 197425, RESELLER # video
dailymotion.com, 197433, RESELLER # video
dailymotion.com, 197441, RESELLER # video
dailymotion.com, 197449, RESELLER # video
dailymotion.com, 197457, RESELLER # video
dailymotion.com, 197465, RESELLER # video
dailymotion.com, 197473, RESELLER # video
dailymotion.com, 197481, RESELLER # video
dailymotion.com, 198953, RESELLER # video
dailymotion.com, 206641, RESELLER # video
dailymotion.com, 215066, RESELLER # video
dailymotion.com, 283154, RESELLER # video
dailymotion.com, 283666, RESELLER # video
dailymotion.com, 288658, RESELLER # video
dailymotion.com, 310385, RESELLER # video
dailymotion.com, 644210, RESELLER # video
