#Vdo
vdo.ai,1008,direct 
google.com,pub-7094677798399606,reseller 
appnexus.com,8148,reseller 
advertising.com,25264,direct 
beachfront.com,12484,reseller 
indexexchange.com,189205,direct 
pubmatic.com,158017,direct 
rhythmone.com,1222734754,direct 
rhythmone.com,3736940343,direct 
districtm.io,100428,direct 
appnexus.com,1908,reseller 
google.com,pub-9685734445476814,reseller 
appnexus.com,7944,reseller 
emxdgt.com,524,direct 
appnexus.com,1356,reseller 
google.com,pub-5995202563537249,reseller 
aniview.com,5db075ae28a0610a7120a21b,reseller 
aniview.com,5db075ae28a0610a7120a21b,direct 
advertising.com,23089,reseller 
districtm.io,101661,direct 
appnexus.com,1908,reseller 
google.com,pub-9685734445476814,reseller 
google.com,pub-7002491002409919,direct 
google.com,pub-7002491002409919,reseller 
google.com,pub-9378724246417115,direct 
openx.com,540862677,reseller 
synacor.com,82171,direct 
indexexchange.com,183965,reseller 
pubmatic.com,156344,reseller 
rubiconproject.com,13344,reseller 
freewheel.tv,772065,reseller 
freewheel.tv,774001,reseller 
ucfunnel.com,par-77274b9a266d6bd20bd6849d8eb7dd2a,direct 
aralego.com,par-77274b9a266d6bd20bd6849d8eb7dd2a,direct 
