google.com, pub-7865156898619133, DIRECT, f08c47fec0942fa0
google.com, pub-5454875279695201, RESELLER, f08c47fec0942fa0
genieesspv.jp, 9663, RESELLER
smaato.com, 1001001172, RESELLER
atemda.com,400,RESELLER #Geniee
ucfunnel.com, par-6AA4BEE8EE4ABE31E4766337468DBE7, RESELLER
aralego.com, par-6AA4BEE8EE4ABE31E4766337468DBE7, RESELLER
video.unrulymedia.com, UNRX_cb5790b6-086a-40a8-8488-ff9107d57a46, DIRECT	
indexexchange.com, 182257, RESELLER	
appnexus.com, 6849, RESELLER	
rubiconproject.com, 15268, RESELLER
adsfactor.net, 10388, RESELLER 
adsfactor.net, 1186, RESELLER 
innity.com, 4897, DIRECT, 47ea16374dff1d69
Appnexus.com, 3058 , RESELLER
appnexus.com , 3925 , RESELLER
