rubiconproject.com, 8769, DIRECT, 0bfd66d529a55807 # video
google.com, pub-7019376976432612, DIRECT # video
appnexus.com, 3360, DIRECT
freewheel.tv, 197345, DIRECT # video
freewheel.tv, 197353, DIRECT # video
freewheel.tv, 197361, DIRECT # video
freewheel.tv, 197369, DIRECT # video
freewheel.tv, 197377, DIRECT # video
freewheel.tv, 197385, DIRECT # video
freewheel.tv, 197393, DIRECT # video
freewheel.tv, 197401, DIRECT # video
freewheel.tv, 197409, DIRECT # video
freewheel.tv, 197417, DIRECT # video
freewheel.tv, 197425, DIRECT # video
freewheel.tv, 197433, DIRECT # video
freewheel.tv, 197441, DIRECT # video
freewheel.tv, 197449, DIRECT # video
freewheel.tv, 197457, DIRECT # video
freewheel.tv, 197465, DIRECT # video
freewheel.tv, 197473, DIRECT # video
freewheel.tv, 197481, DIRECT # video
freewheel.tv, 198953, DIRECT # video
freewheel.tv, 206641, DIRECT # video
freewheel.tv, 215066, DIRECT # video
freewheel.tv, 283154, DIRECT # video
freewheel.tv, 283666, DIRECT # video
freewheel.tv, 288658, DIRECT # video
freewheel.tv, 310385, DIRECT # video
freewheel.tv, 644210, DIRECT # video
freewheel.tv, 644226, DIRECT # video
freewheel.tv, 644242, DIRECT # video
freewheel.tv, 644258, DIRECT # video
freewheel.tv, 644274, DIRECT # video
freewheel.tv, 644290, DIRECT # video
freewheel.tv, 644306, DIRECT # video
freewheel.tv, 644322, DIRECT # video
freewheel.tv, 644338, DIRECT # video
freewheel.tv, 644354, DIRECT # video
freewheel.tv, 644370, DIRECT # video
freewheel.tv, 644386, DIRECT # video
freewheel.tv, 644402, DIRECT # video
freewheel.tv, 644418, DIRECT # video
freewheel.tv, 644434, DIRECT # video
freewheel.tv, 644450, DIRECT # video
freewheel.tv, 644466, DIRECT # video
freewheel.tv, 644482, DIRECT # video
freewheel.tv, 644498, DIRECT # video
freewheel.tv, 732722, DIRECT # video
freewheel.tv, 321361, RESELLER # video
freewheel.tv, 321377, RESELLER # video
freewheel.tv, 321393, RESELLER # video
freewheel.tv, 321409, RESELLER # video
freewheel.tv, 321425, RESELLER # video
freewheel.tv, 321441, RESELLER # video
freewheel.tv, 321457, RESELLER # video
freewheel.tv, 321473, RESELLER # video
freewheel.tv, 321489, RESELLER # video
freewheel.tv, 321505, RESELLER # video
freewheel.tv, 321521, RESELLER # video
freewheel.tv, 321537, RESELLER # video
freewheel.tv, 321553, RESELLER # video
freewheel.tv, 321569, RESELLER # video
freewheel.tv, 321585, RESELLER # video
freewheel.tv, 321601, RESELLER # video
freewheel.tv, 321617, RESELLER # video
freewheel.tv, 321633, RESELLER # video
freewheel.tv, 321649, RESELLER # video
freewheel.tv, 321665, RESELLER # video
freewheel.tv, 321681, RESELLER # video
freewheel.tv, 321697, RESELLER # video
freewheel.tv, 321713, RESELLER # video
freewheel.tv, 321729, RESELLER # video
freewheel.tv, 321745, RESELLER # video
freewheel.tv, 644514, RESELLER # video
freewheel.tv, 644530, RESELLER # video
freewheel.tv, 644546, RESELLER # video
freewheel.tv, 644562, RESELLER # video
freewheel.tv, 644578, RESELLER # video
freewheel.tv, 644594, RESELLER # video
freewheel.tv, 644610, RESELLER # video
freewheel.tv, 644626, RESELLER # video
freewheel.tv, 644642, RESELLER # video
freewheel.tv, 644658, RESELLER # video
freewheel.tv, 644674, RESELLER # video
freewheel.tv, 644690, RESELLER # video
freewheel.tv, 644706, RESELLER # video
freewheel.tv, 644722, RESELLER # video
freewheel.tv, 644738, RESELLER # video
freewheel.tv, 644754, RESELLER # video
freewheel.tv, 644770, RESELLER # video
freewheel.tv, 644786, RESELLER # video
freewheel.tv, 644802, RESELLER # video
freewheel.tv, 732754, RESELLER # video
dailymotion.com, 197345, DIRECT # video
dailymotion.com, 197353, DIRECT # video
dailymotion.com, 197361, DIRECT # video
dailymotion.com, 197369, DIRECT # video
dailymotion.com, 197377, DIRECT # video
dailymotion.com, 197385, DIRECT # video
dailymotion.com, 197393, DIRECT # video
dailymotion.com, 197401, DIRECT # video
dailymotion.com, 197409, DIRECT # video
dailymotion.com, 197417, DIRECT # video
dailymotion.com, 197425, DIRECT # video
dailymotion.com, 197433, DIRECT # video
dailymotion.com, 197441, DIRECT # video
dailymotion.com, 197449, DIRECT # video
dailymotion.com, 197457, DIRECT # video
dailymotion.com, 197465, DIRECT # video
dailymotion.com, 197473, DIRECT # video
dailymotion.com, 197481, DIRECT # video
dailymotion.com, 198953, DIRECT # video
dailymotion.com, 206641, DIRECT # video
dailymotion.com, 215066, DIRECT # video
dailymotion.com, 283154, DIRECT # video
dailymotion.com, 283666, DIRECT # video
dailymotion.com, 288658, DIRECT # video
dailymotion.com, 310385, DIRECT # video
dailymotion.com, 644210, DIRECT # video
dailymotion.com, 644226, DIRECT # video
dailymotion.com, 644242, DIRECT # video
dailymotion.com, 644258, DIRECT # video
dailymotion.com, 644274, DIRECT # video
dailymotion.com, 644290, DIRECT # video
dailymotion.com, 644306, DIRECT # video
dailymotion.com, 644322, DIRECT # video
dailymotion.com, 644338, DIRECT # video
dailymotion.com, 644354, DIRECT # video
dailymotion.com, 644370, DIRECT # video
dailymotion.com, 644386, DIRECT # video
dailymotion.com, 644402, DIRECT # video
dailymotion.com, 644418, DIRECT # video
dailymotion.com, 644434, DIRECT # video
dailymotion.com, 644450, DIRECT # video
dailymotion.com, 644466, DIRECT # video
dailymotion.com, 644482, DIRECT # video
dailymotion.com, 644498, DIRECT # video
dailymotion.com, 732722, DIRECT # video
dailymotion.com, 321361, RESELLER # video
dailymotion.com, 321377, RESELLER # video
dailymotion.com, 321393, RESELLER # video
dailymotion.com, 321409, RESELLER # video
dailymotion.com, 321425, RESELLER # video
dailymotion.com, 321441, RESELLER # video
dailymotion.com, 321457, RESELLER # video
dailymotion.com, 321473, RESELLER # video
dailymotion.com, 321489, RESELLER # video
dailymotion.com, 321505, RESELLER # video
dailymotion.com, 321521, RESELLER # video
dailymotion.com, 321537, RESELLER # video
dailymotion.com, 321553, RESELLER # video
dailymotion.com, 321569, RESELLER # video
dailymotion.com, 321585, RESELLER # video
dailymotion.com, 321601, RESELLER # video
dailymotion.com, 321617, RESELLER # video
dailymotion.com, 321633, RESELLER # video
dailymotion.com, 321649, RESELLER # video
dailymotion.com, 321665, RESELLER # video
dailymotion.com, 321681, RESELLER # video
dailymotion.com, 321697, RESELLER # video
dailymotion.com, 321713, RESELLER # video
dailymotion.com, 321729, RESELLER # video
dailymotion.com, 321745, RESELLER # video
dailymotion.com, 644514, RESELLER # video
dailymotion.com, 644530, RESELLER # video
dailymotion.com, 644546, RESELLER # video
dailymotion.com, 644562, RESELLER # video
dailymotion.com, 644578, RESELLER # video
dailymotion.com, 644594, RESELLER # video
dailymotion.com, 644610, RESELLER # video
dailymotion.com, 644626, RESELLER # video
dailymotion.com, 644642, RESELLER # video
dailymotion.com, 644658, RESELLER # video
dailymotion.com, 644674, RESELLER # video
dailymotion.com, 644690, RESELLER # video
dailymotion.com, 644706, RESELLER # video
dailymotion.com, 644722, RESELLER # video
dailymotion.com, 644738, RESELLER # video
dailymotion.com, 644754, RESELLER # video
dailymotion.com, 644770, RESELLER # video
dailymotion.com, 644786, RESELLER # video
dailymotion.com, 644802, RESELLER # video
dailymotion.com, 732754, RESELLER # video
lkqd.net, 410, RESELLER, 59c49fa9598a0117 # video LATAM
lkqd.com, 410, RESELLER, 59c49fa9598a0117 # video LATAM
google.com, pub-8673457733281446, RESELLER, f08c47fec0942fa0 # video LATAM
appnexus.com, 9923, RESELLER, f5ab79cb980f11d1 # video LATAM
smartclip.net, 10213, DIRECT # LATAM
smartclip.net, 2898, DIRECT # LATAM
smartclip.net, 10220, DIRECT # LATAM
smartclip.net, 6780, DIRECT # LATAM
smartclip.net, 10219, DIRECT # LATAM
smartclip.net, 10221, DIRECT # LATAM
smartclip.net, 10213, RESELLER # LATAM
smartclip.net, 2898, RESELLER # LATAM
smartclip.net, 10220, RESELLER # LATAM
smartclip.net, 6780, RESELLER # LATAM
smartclip.net, 10219, RESELLER # LATAM
smartclip.net, 10221, RESELLER # LATAM
AOL.com, 7801, DIRECT # Video
freewheel.tv, 146777, RESELLER # HK
freewheel.tv, 202401, RESELLER # HK
