google.com, pub-4939207172719226, RESELLER, f08c47fec0942fa0
google.com, pub-8734155055835578, DIRECT, f08c47fec0942fa0
google.com, pub-7077840234760379, DIRECT, f08c47fec0942fa0
google.com, pub-3990413072775383, DIRECT, f08c47fec0942fa0
google.com, pub-3045406508625925, RESELLER
adform.com, 841, RESELLER
smaato.com, 1100013781, RESELLER
rekmob.com, 7172,DIRECT
reklamstore.com, 116008, DIRECT
appnexus.com, 1619, DIRECT
emxdgt.com, 71, RESELLER
appnexus.com, 1356, RESELLER
adform.com, 1431, RESELLER
pubmatic.com, 156547, RESELLER


google.com, pub-5900327121854735, DIRECT, f08c47fec0942fa0
