#Ads.txt liquida.it

criteo.com, 125155, DIRECT
appnexus.com, 3702, RESELLER, f5ab79cb980f11d1
google.com, pub-1165134081067168, DIRECT, f08c47fec0942fa0
google.com, pub-0412891939856117, DIRECT, f08c47fec0942fa0
rubiconproject.com,21446, DIRECT, 0bfd66d529a55807
google.com, pub-4262241990575713, DIRECT, f08c47fec0942fa0
google.com, pub-5868301880786113, DIRECT, f08c47fec0942fa0
google.com, pub-1000168254399510, DIRECT, f08c47fec0942fa0
google.com, pub-1165134081067168, DIRECT, f08c47fec0942fa0
google.com, pub-8541750597587716, DIRECT, f08c47fec0942fa0
google.com, pub-9239144410517836, DIRECT, f08c47fec0942fa0
google.com, pub-7247475231456051, DIRECT, f08c47fec0942fa0
