# Lagardere Publicite > ParisMatch.com

# verification par https://adstxt.adnxs.com, le 21/05/2019

#

appnexus.com, 4013, DIRECT, f5ab79cb980f11d1			# Lagardere Publicite

appnexus.com, 10251, DIRECT, f5ab79cb980f11d1		     # Lagardere Publicite News
rubiconproject.com, 8627, DIRECT, 0bfd66d529a55807		# Lagardere Publicite > Rubicon Project

#

google.com, pub-5035025648894332, DIRECT, f08c47fec0942fa0	# Lagardere Publicite > GAS

google.com, pub-5131738703995837, DIRECT, f08c47fec0942fa0	# Lagardere Publicite > GAS [Chelsea]

google.com, pub-6608446553925033, DIRECT, f08c47fec0942fa0	# Lagardere Publicite > GAdx [Chelsea]

#

adyoulike.com, 341b42fa0fd52ea27bfe2fef0c01cd9b, RESELLER 	# Lagardere Publicite > AdYouLike.com

teads.tv, 11739, DIRECT, 15a9c44f6d26cbe1			# Lagardere Publicite > Teads.tv

#

smartadserver.com,2399,RESELLER					# Lagardere Publicite > Adikteev.com

rubiconproject.com, 17504, RESELLER, 0bfd66d529a55807		# Lagardere Publicite > Adikteev.com

appnexus.com, 3418, RESELLER					# Lagardere Publicite > Adikteev.com

#

smartadserver.com, 1827, RESELLER				# Lagardere Publicite > SublimSkinz.com

improvedigital.com, 335, RESELLER				# Lagardere Publicite > SublimSkinz.com

appnexus.com, 3538, RESELLER, f5ab79cb980f11d1			# Lagardere Publicite > SublimSkinz.com

appnexus.com, 3539, RESELLER, f5ab79cb980f11d1			# Lagardere Publicite > SublimSkinz.com

appnexus.com, 3540, RESELLER, f5ab79cb980f11d1			# Lagardere Publicite > SublimSkinz.com

freewheel.tv, 67945, RESELLER					# Lagardere Publicite > SublimSkinz.com

#

smartclip.net, 9316, RESELLER					# Lagardere Publicite > AdVideum.com

spotxchange.com, 212153, RESELLER, 7842df1d2fe2db34		# Lagardere Publicite > AdVideum.com

spotx.tv, 212153, RESELLER, 7842df1d2fe2db34			# Lagardere Publicite > AdVideum.com


google.com, pub-3700011705422030, RESELLER, f08c47fec0942fa0	# Lagardere Publicite > AdVideum.com


