google.com, pub-5517484840348343, DIRECT, f08c47fec0942fa0
google.com, pub-7620071422727774, DIRECT, f08c47fec0942fa0
google.com, pub-5278973888786334, DIRECT, f08c47fec0942fa0
adtech.com, 10513, RESELLER
aolcloud.net, 10513, RESELLER
appnexus.com, 1613, RESELLER
appnexus.com, 3326, RESELLER
google.com, pub-1409765517756851, RESELLER
google.com, pub-4075894099602271, RESELLER
freewheel.tv, 146081, RESELLER
rubiconproject.com, 8861, RESELLER, 0bfd66d529a55807
districtm.io, 100541, DIRECT
appnexus.com, 1908, RESELLER
appnexus.com, 7944, RESELLER
districtm.io, 100452, DIRECT
appnexus.com, 7944, RESELLER
appnexus.com, 1908, RESELLER
conversantmedia.com, 40802 , DIRECT
