# Telegraph Media Group [2019-10-30] - Web version - ads.txt - programmatic@telegraph.co.uk
# 33 Across
33across.com, 0010b00001rsz57AAA, DIRECT, bbea06d9c4d2853c
google.com, pub-9557089510405422, RESELLER, f08c47fec0942fa0
rubiconproject.com, 16414, RESELLER, 0bfd66d529a55807
rubiconproject.com, 21434, RESELLER, 0bfd66d529a55807
appnexus.com, 10239, RESELLER, f5ab79cb980f11d1
appnexus.com, 1001, RESELLER, f5ab79cb980f11d1
appnexus.com, 3135, RESELLER, f5ab79cb980f11d1
pubmatic.com, 156423, RESELLER, 5d62403b186f2ace
pubmatic.com, 158136, RESELLER, 5d62403b186f2ace
pubmatic.com, 158569, RESELLER, 5d62403b186f2ace
openx.com, 537120563, RESELLER, 6a698e2ec38604c6
openx.com, 539392223, RESELLER, 6a698e2ec38604c6
adtech.com, 12094, RESELLER, 
adtech.com, 9993, RESELLER, 
rhythmone.com, 2439829435, RESELLER, a670c89d4a324e47
emxdgt.com, 326, RESELLER, 1e1d41537f7cad7f
advangelists.com, 8d3bba7425e7c98c50f52ca1b52d3735, RESELLER, 60d26397ec060f98
# Adform
adform.com, 2490, RESELLER, 9f5210a2f0999e32
# AdYouLike
adyoulike.com, 9920f84c7559a72327efc3c8bef1ca24, DIRECT, 
appnexus.com, 9733, RESELLER, f5ab79cb980f11d1
spotxchange.com, 230037, RESELLER, 7842df1d2fe2db34
spotx.tv, 230037, RESELLER, 7842df1d2fe2db34
freewheel.tv, 745362, RESELLER, 
freewheel.tv, 745378, RESELLER, 
tremorhub.com, ewut4-b6zwq, RESELLER, 1a4e959a1b50034a
rubiconproject.com, 20736, RESELLER, 0bfd66d529a55807
openx.com, 540847510, RESELLER, 6a698e2ec38604c6
# AppNexus
appnexus.com, 2542, DIRECT, f5ab79cb980f11d1
appnexus.com, 2127, RESELLER, f5ab79cb980f11d1
appnexus.com, 2130, RESELLER, f5ab79cb980f11d1
appnexus.com, 3310, RESELLER, f5ab79cb980f11d1
# Google
google.com, pub-3033197808145916, DIRECT, f08c47fec0942fa0
google.com, pub-5041804953714966, DIRECT, f08c47fec0942fa0
google.com, pub-4015880282924246, DIRECT, f08c47fec0942fa0
# IndexExchange
indexexchange.com, 184744, DIRECT, 50b1c356f2c5c8fc
indexexchange.com, 184224, DIRECT, 50b1c356f2c5c8fc
indexexchange.com, 188607, DIRECT, 50b1c356f2c5c8fc
# Kargo
kargo.com, 8231, DIRECT, 
indexexchange.com, 184081, RESELLER, 50b1c356f2c5c8fc
contextweb.com, 562001, RESELLER, 89ff185a4c4e857c
# Openx
openx.com, 539043272, DIRECT, 6a698e2ec38604c6
openx.com, 540731760, DIRECT, 6a698e2ec38604c6
openx.com, 540054541, DIRECT, 6a698e2ec38604c6
openx.com, 537143672, RESELLER, 6a698e2ec38604c6
